title,content,link,timestamp
FOTO: K-Popers & Gamers Aksi Tolak PPN 12% di Depan Istana Presiden,,https://www.cnnindonesia.com/nasional/20241219175247-22-1179188/foto-k-popers-gamers-aksi-tolak-ppn-12-di-depan-istana-presiden,2024-12-20 01:54:47.422056
Ketua DPR Puan Maharani Khawatir Gelombang PHK Buntut PPN 12 Persen,"Ketua DPRPuan Maharanimewanti-wanti potensi gelombang pemutusan hubungan kerja (PHK) buntut keputusan pemerintah yang akan memberlakukan kenaikan pajak pertambahan nilai(PPN) 12 persenmulai 1 Januari 2025. Puan meyakini kenaikan tersebut akan berdampak pada sektor usaha. Imbasnya, industri manufaktur, UMKM, dan sektor padat karya akan turun akibat penurunan daya beli masyarakat.  ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Pada akhirnya roda ekonomi di sektor riil berpotensi melambat yang dikhawatirkan memicu gelombang PHK di tahun-tahun mendatang,"" kata Puan dalam keterangannya, Kamis (19/12). Puan menilai kenaikan PPN 12 persen juga akan berdampak pada penurunan daya beli rumah tangga. Kalkulasi Puan, angka penurunan tersebut bisa mencapai 0,37 persen atau Rp40,68 triliun. Menurut Puan kondisi itu akan menggerus produk domestik bruto (PDB) hingga Rp65,33 triliun. Puan khawatir hal itu bisa memperburuk ketimpangan ekonomi antara kelompok kaya dan miskin. ""Sektor padat karya seperti industri tekstil sudah mengalami pelemahan selama beberapa waktu terakhir. Semoga kenaikan PPN ini tidak memperparah keadaan,"" kata politikus PDIP itu. Menurut Puan, kenaikan PPN memang dikecualikan bagi barang-barang kebutuhan pokok (sembako) seperti beras, daging, ikan, telur, sayur, susu, serta jasa pendidikan dan kesehatan. Namun, kenaikan harga diprediksi tetap akan terjadi karena efek turunan dan interkonektivitas rantai pasok pangan yang membebani pengusaha. Hal itu lantaran PPN bersifatmultistage taxatau dikenakan ke setiap jenjang rantai produksi dan distribusi. ""Pemerintah harus memiliki langkah antisipasi apabila kenaikan harga bahan pokok terjadi akibat kenaikan PPN,"" kata Puan. Dia mendukung langkah pemerintah yang berencana menerapkan paket stimulus ekonomi guna menjaga daya beli masyarakat dan mencegah lonjakan harga yang tidak terkendali. Namun Puan mengingatkan pentingnya stimulus juga diberikan pada sektor-sektor industri kerakyatan. ""Kita harus bisa memastikan semua sektor dapat terlindungi dengan adanya kenaikan PPN. Apalagi bagi sektor UMKM dan industri padat karya agar kenaikan PPN tidak menimbulkan dampak yang signifikan dan menggerus kehidupan masyarakat,"" ucapnya. ",https://www.cnnindonesia.com/nasional/20241219174556-32-1179184/ketua-dpr-puan-maharani-khawatir-gelombang-phk-buntut-ppn-12-persen,2024-12-20 01:54:47.729183
VIDEO: Aksi Tolak PPN 12 Persen di Depan Istana,"Massa aksi dari beberapa elemen masyarakat melakukan aksi tolak kenaikan PPN 12 persen di seberang kompleks Istana Kepresidenan, Jakarta Pusat, Kamis (19/12) petang. Massa itu terdiri atas berbagai elemen dari kelompok perempuan, mahasiswa, Gen-Z, hingga K-Popers. Massa mulai berkumpul di Taman Aspirasi halaman Plaza Barat Laut Monas sekitar pukul 14.00 WIB. Massa terlihat membawa poster-poster bertuliskan keresahan dan tuntutan mereka terhadap pemerintah. Kepolisian mengerahkan sebanyak 820 personel gabungan guna mengamankan aksi unjuk rasa. ",https://www.cnnindonesia.com/nasional/20241219171205-24-1179173/video-aksi-tolak-ppn-12-persen-di-depan-istana,2024-12-20 01:54:47.977241
Massa Tolak PPN 12 Persen Sampaikan Surat Keberatan ke Setneg,"Perwakilan massa aksi menolak kenaikan Pajak Pertambahan Nilai(PPN) 12 persenmenyerahkan isi petisi penolakan ke Sekretariat Negara RI. Perwakilan akun X @barengwarga, Risyad azhary mengatakan mereka akan terus memantau langkah pemerintah ke depan.  ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Pokoknya, jangan sampai lewat, sampai nanti hari H kita lihat juga, kalau sampai benar-benar masih dipaksain berarti kita tahu memang hari ini pemerintah enggak berpihak kepada kelas pekerja, kelas penengah, dan kaum bawah,"" kata Risyad usai membuat pelaporan ke Setneg RI, Jakarta, Kamis (19/12). Risyad menyampaikan sejauh ini petisi digital yang digalang secara online itu telah mendapatkan dukungan dari kurang lebih 120 ribu orang. Ia pun yakin jumlah orang yang menandatangani petisi itu akan terus bertambah ke depannya. ""Ini kita kan bikin 100 udah lebih ya, bahkan tadi akutaggingkan 120-an mungkin, dan akan terus tambah kan, jadi kita galang terus petisinya secara digital, terus kita tagih,"" ujar dia. Risyad menyampaikan mereka diterima secara administrasi dalam pelaporannya ke Setneg. Ia pun berharap lewat surat dan petisi itu pemerintah akan mendengarkan serta mempertimbangkan kembali kebijakan kenaikan PPN 12 persen tersebut. ""Sampai dibatalkan, sampai dibatalkan, kan kita lihat katanya kan tanggal 1 akan disahkan ya. Kita tunggu juga, kalau benar-benar dipaksain berarti ya kalau begitu, ya kita turun aksi lagi gitu, jemput bola lagi gitu,"" ucapnya. Pada hari ini, koalisi masyarakat sipil menggelar demonstrasi di Taman Aspirasi Monas, Jakarta. Demonstrasi ini dihadiri puluhan orang dengan membawa spanduk bernarasi menolak kenaikan PPN. ""PPN naik masyarakat sipil bisa kena PHK pak,"" teriak massa aksi.  Menteri Koordinator Bidang Perekonomian Airlangga Hartarto, Menteri Keuangan Sri Mulyani, dan jajaran Kabinet Merah Putih sudah mengumumkan kenaikan PPN dari 11 persen ke 12 persen. Ini diumumkan dalam konferensi pers di Kantor Airlangga pada Senin (16/12). Tarif baru PPN bakal berlaku mulai 1 Januari 2025. Pemerintah berdalih kenaikan ini merupakan amanat UU Nomor 7 Tahun 2024 tentang Harmonisasi Peraturan Perpajakan (UU HPP).",https://www.cnnindonesia.com/nasional/20241219164152-32-1179167/massa-tolak-ppn-12-persen-sampaikan-surat-keberatan-ke-setneg,2024-12-20 01:54:48.319434
"Bahlil Pastikan Tarif Listrik 2025 Tetap, Tak Terdampak PPN 12 Persen","Menteri ESDMBahlil Lahadaliamemastikantarif listrikpada awal 2025 tetap alias tidak naik. Pernyataan ini diberikan menyusul adanya kenaikan pajak pertambahan nilai (PPN). Tarif pajak tersebut naik dari 11 persen ke 12 persen mulai 1 Januari 2025. ""Masih sama (tarif listrik di kuartal I 2025), masih sama (tetap alias tidak naik dibandingkan kuartal IV 2024),"" tegas Bahlil dalam Konferensi Pers di Kantor BPH Migas, Jakarta Selatan, Kamis (19/12). ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Di lain sisi, Menteri Keuangan Sri Mulyani mengatakan pemerintah bakal memberikan diskon 50 persen untuk tarif listrik. Ada 81,4 juta rumah tangga di seluruh Indonesia yang berhak atas diskon itu.  Potongan 50 persen berlaku untuk pelanggan rumah tangga dengan daya listrik hingga 2.200 volt ampere (VA). Ini diberikan sebagai salah satu paket stimulus demi meredam dampak kenaikan PPN. Diskon berlaku selama dua bulan, yakni Januari 2025 dan Februari 2025. Wanita yang akrab disapa Ani itu menyampaikan diskon tarif listrik diberikan untuk menjaga daya beli masyarakat. ""Sehingga ekonomi kita tetap jalan, meski kita pahami banyak dinamika global yang terjadi, dan di dalam negeri yang terus kita waspadai,"" kata Ani dalam Konferensi Pers di Kemenko Perekonomian, Jakarta Pusat, Senin (16/12). Meski begitu, Bahlil belum membocorkan bagaimana kebijakan tarif listrik di kuartal II 2025 dan seterusnya. Tak ada informasi apakah pemerintah melalui PT PLN (Persero) bakal melakukan penyesuaian tarif atau tidak. [Gambas:Video CNN] ",https://www.cnnindonesia.com/ekonomi/20241219161529-85-1179151/bahlil-pastikan-tarif-listrik-2025-tetap-tak-terdampak-ppn-12-persen,2024-12-20 01:54:48.725853
Petisi 113 Ribu Desak Prabowo Cabut PPN 12 Persen Dibawa ke Istana,"Kelompok Bareng Warga mengantar petisi online yang menuntut PresidenPrabowo Subiantomencabut Pajak Pertambahan Nilai (PPN) 12 persen ke istana. Petisi itu telah ditandatangani sekitar 113 ribu orang. Risyad Azharai, perwakilan Bareng Warga, mengatakan inisiatif ini dimulai di internet. Bareng Warga hanya menyampaikan suara masyarakat yang dituangkan ke dalam petisi itu. ""Ini adalah tanda tangan yang dihimpun secara digital melalui petisi online oleh hampir 1113 ribu lebih dan akan terus bertambah, yaitu penolakan untuk PPN 12 persen,"" kata Risyad di Kantor Kementerian Sekretariat Negara (Setneg), Jakarta, Kamis (19/12). ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Risyad mengatakan kenaikan PPN 12 persen tak tepat saat ini. Masyarakat sedang kesulitan ekonomi dan penambahan PPN hanya akan memberatkan.  Dia juga mengingatkan kelas menengah sedang melemah. Sebagian kelas menengah turun status menjadi kelas bawah karena kondisi ekonomi saat ini. Risyad dan kawan-kawan mendesak Prabowo untuk mencabut kenaikan PPN 12 persen. Dia juga mengingatkan pemerintah untuk tidak membalut kebijakan itu dengan istilah-istilah menyesatkan. ""Jangan bilang-bilang pakai khusus barang mewah doang. Saya tahu kita sadar itu upaya-upaya buat pembiasan, pengaburan, pengabu-abuan,"" ujarnya. Ia menambahkan, ""Jangan dipelintir-pelintir. Batalin semuanya untuk PPN 12 persen."" Sebelumnya, pemerintah menetapkan kenaikan PPN 12 persen berlaku pada 1 Januari 2024. Hal itu sesuai dengan ketetapan di Undang-Undang Nomor 7 Tahun 2024 tentang Harmonisasi Peraturan Perpajakan (UU HPP). ""Sesuai dengan amanah undang-undang tentang harmonisasi peraturan perpajakan, ini sesuai dengan jadwal yang telah ditentukan. Tarif PPN tahun depan akan naik sebesar 12 persen per 1 Januari,"" ucap Menko Perekonomian Airlangga Hartarto, di Gedung Kemenko Perekonomian, Jakarta Pusat, Senin (16/12).  ",https://www.cnnindonesia.com/nasional/20241219161500-20-1179149/petisi-113-ribu-desak-prabowo-cabut-ppn-12-persen-dibawa-ke-istana,2024-12-20 01:54:49.074326
Massa K-Popers Ikut Aksi Tolak PPN 12 Persen di Depan Istana Presiden,"Massa aksi dari beberapa elemen masyarakat melakukan aksi tolak kenaikanPajak Pertambahan Nilai (PPN) 12 persendi seberang kompleks Istana Kepresidenan, Jalan Medan Merdeka Utara, Jakarta Pusat, Kamis (19/12) petang. Massa itu terdiri atas berbagai elemen dari kelompok perempuan, mahasiswa, Gen-Z, hingga K-Popers. Massa yang berdatangan mulai pukul 14.00 WIB, berkumpul di Taman Aspirasi halaman Plaza Barat Laut Monumen Nasional (Monas), yang berada di seberang istana. Massa terlihat membawa poster bertuliskan ""Kalo PPN naik, berarti harga barang bakal naik, otomatis pengeluaran ikut naik, gaji jadi ga cukup lagi, ""Ketua Serikat Gen Z tolak kenaikan PPN 12 persen"". Massa K-Popers terlihat ada yang membawa lampu tangan ""lightstick"" yang sering jadi asesoris penonton konser musisi asal Korea. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Salah satu dari massa aksi itu, Sekar Ayu (20) asal Bekasi menyebut dirinya mengikuti demonstrasi tersebut untuk kepentingan dirinya dan teman-teman K-popers lainnya. ""Alasan ikut demo supaya harga konser tidak naik kak. Kita kalau tidak naik aja konser udah Rp4 juta, apalagi naik bisa Rp4 juta lebih dong. Kan jadi sedih,"" ujar Sekar di seberang istana.  Massa aksi lain, Ikrar W (25) asal Semarang mengatakan, ""Saya tidak setuju kenaikan PPN 12 persen, 11 persen aja sudah mencekik apalagi 12 persen, makin diperas intinya itu."" Menurut Ikrar, berapapun kenaikannnya akan tetap memberatkan masyarakat karena berpengaruh terhadap kenaikan harga. ""Harga pasti naik meskipun hanya satu persen. Pasti akan berpengaruh dengan adanya PPN 12 persen yang cekik. Harapannya pasti maunya dicabut 12 kalo bisa 11 persen atau syukur-syukur turun jadi 10 persen kan bisa aja,"" ucap Ikrar. Seratusan massa mencoba berjalan menuju Kantor Sekretariat Negara untuk menyerahkan petisi warga yang menolak kenaikan PPN 12 persen.  Pasukan polisi terlihat tampak berjaga untuk memastikan massa tidak masuk ke dalam Kantor Sekretariat Negara. Kepolisian mengerahkan sebanyak 820 personel gabungan guna mengamankan aksi menolak kenaikan Pajak Pertambahan Nilai (PPN) 12 persen di Istana Negara, Jakarta Pusat. Personel gabungan tersebut dari Polda Metro Jaya, Polres Metro Jakarta Pusat, TNI, Pemda DKI dan instansi terkait. Sebelumnya, pemerintah di bawah kepresidenan Prabowo Subianto resmi menetapkan kenaikan tarif Pajak Pertambahan Nilai (PPN) menjadi 12 persen mulai 1 Januari 2025. Menteri Koordinator Bidang Perekonomian Airlangga Hartarto mengatakan, penetapan PPN 12 persen sesuai dengan Undang-Undang (UU) Nomor 7 Tahun 2021 tentang Harmonisasi Peraturan Perpajakan (HPP). ",https://www.cnnindonesia.com/nasional/20241219154931-20-1179147/massa-k-popers-ikut-aksi-tolak-ppn-12-persen-di-depan-istana-presiden,2024-12-20 01:54:49.331216
Massa Geruduk Istana Prabowo: Tolak PPN 12 Persen,"Massa aksi dari koalisi masyarakat sipil menggelar aksidemonstrasimenolak kenaikan Pajak Pertambahan Nilai (PPN) 12 persen pada 2025. PantauanCNNIndonesia.com, sekitar puluhan massa aksi berkumpul di depan taman aspirasi Monas membawa spanduk bernarasi penolakan atas kenaikan PPN. ""PPN naik masyarakat sipil bisa kena PHK pak,"" teriak massa aksi. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Wakil Ketua Divisi Advokasi YLBHI Arif Maulana mengatakan massa aksi ini hendak menyampaikan surat ke Sekretariat Negara menyampaikan keberatan atas kenaikan PPN 12 persen.  ""Ya kita mau menyerahkan surat ke sekretariat negara ya. Kita akan sampaikan kepada Presiden Prabowo bahwa masyarakat kita semua yang hadir disini menolak ya PPN 12 persen,"" ucap Arif di lokasi. Selain itu, ia menyatakan mereka juga akan menyerahkan petisi dari publik yang diharapkan bisa menjadi pertimbangan pemerintah dalam mengambil keputusan. Menteri Koordinator Bidang Perekonomian Airlangga Hartarto, Menteri Keuangan Sri Mulyani, dan jajaran Kabinet Merah Putih sudah mengumumkan kenaikan PPN dari 11 persen ke 12 persen. Ini diumumkan dalam konferensi pers di Kantor Airlangga pada Senin (16/12). Tarif baru PPN bakal berlaku mulai 1 Januari 2025. Pemerintah berdalih kenaikan ini merupakan amanat UU Nomor 7 Tahun 2024 tentang Harmonisasi Peraturan Perpajakan (UU HPP). ",https://www.cnnindonesia.com/nasional/20241219153015-20-1179132/massa-geruduk-istana-prabowo-tolak-ppn-12-persen,2024-12-20 01:54:49.729128
"Apindo soal PPN 12 Persen: Semua Kena, Premium-Mewah Hanya Penamaan","Asosiasi Pengusaha Indonesia (Apindo) bersuara soal kengototan pemerintah menaikkanPPNdari 11 persen menjadi 12 persen mulai 1 Januari 2025 nanti. Komentar salah satunya mereka berikan terhadap pemberlakuan PPN. Ketua Umum Apindo Shinta Kamdani dalam konferensi pers di Kantor Apindo, Jakarta Selatan, Kamis (19/12) mengatakan bahwa pemerintah memang mengatakan PPN tidak berlaku untuk semua, tapi untuk barang premium. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Tapi katanya, sejatinya semua produk dan jasa dikenakan PPN 12 persen mulai 2025.  ""Sebenarnya itu bukan bahan premium, secara menyeluruh memang kena 12 persen tapi ada beberapa bahan pokok sembako yang tidak terkena. Jadi sebenarnya dasarnya semua barang akan terkena (PPN) 12 persen,"" ujar Shinta. ""Bahwa penamaan itu sebagai barang mewah atau bahan premium itu bisa saja, tapi hampir semua itu terkena 12 persen. Hampir semua jenis barang dan jasa-jasa, kecuali bahan pokok dan sembako,"" imbuhnya lebih lanjut. Shinta mengatakan kengototan itu berpotensi akan membuat semuanya menjadi berat. Pemerintah katanya, memang menggelontorkan sejumlah insentif untuk mengantisipasi dampak itu. Tapi, insentif tidak akan berdampak banyak. Insentif juga katanya, tidak dinikmati dunia usaha. Salah satunya insentif pembebasan pajak penghasilan (PPh) bagi pekerja sektor padat karya bergaji di bawah Rp10 juta. Ia menilai kebijakan itu tidak memberikan keuntungan bagi pelaku usaha.  ""(Stimulus) PPh 21 itu bagus, cuma ini diberikannya memang untuk pekerja. Jadi yang kena manfaat itu adalah pekerja yang gajinya di bawah Rp10 juta. Jadi ini tidak membantu pelaku usahanya, industri padat karya itu enggak kebantu,"" ujarnya. Shinta meminta pemerintah seharusnya juga membebaskan PPh Badan bagi pelaku usaha agar industri padat karya ikut terbantu dari tekanan kenaikan PPN 12 persen. ""Dan kita enggak minta untuk semua sektor. Tapi paling enggak industri padat karya ini bisa terbantu kalau PPh Badannya ini dibantu,"" imbuhnya. Selain pembebasan PPh bagi pekerja bergaji Rp4,8 juta hingga Rp10 juta, Shinta juga menilai stimulus diskon 50 persen iuran Jaminan Kecelakaan Kerja (JKK) selama enam bulan untuk sektor padat karya juga minim manfaatnya bagi pelaku usaha. [Gambas:Video CNN] ""Ini 50 persen, tapi yang dilakukan pemerintah sekarang adalah pemberian stimulus untuk hanya kecelakaan kerja. Jadi sangat kecil sekali gitu, lain banget dengan konsep BPJS Ketenagakerjaan. Jadi ini cuma salah satu bagian daripada kecelakaan kerja, ini terlalu kecil dan hampir tidak terasa,"" tutur Shinta. Lebih lanjut, Shinta meyakini tekanan inflasi akan meningkat di awal 2025 didorong oleh sejumlah faktor, termasuk implementasi kenaikan PPN menjadi 12 persen. Namun, Apindo memproyeksikan inflasi di 2025 tetap terjaga di kisaran 2,5 plus minus 1 persen sesuai dengan target Bank Indonesia (BI). ""Tekanan inflasi dipercayakan akan juga meningkat di awal tahun didorong oleh sejumlah faktor seperti kita tahu kenaikan UMP (upah minimum provinsi), implementasi PPN 12 persen, serta permintaan musiman di kuartal I, terkait dengan momentum Ramadan dan Lebaran,"" tuturnya.  ",https://www.cnnindonesia.com/ekonomi/20241219140826-92-1179088/apindo-soal-ppn-12-persen-semua-kena-premium-mewah-hanya-penamaan,2024-12-20 01:54:50.091953
Bahlil Pastikan PPN 12 Persen Tak Akan Buat Harga BBM Naik,"Menteri ESDMBahlil Lahadaliamemastikan pemberlakuan kenaikan pajak pertambahan nilai (PPN) dari 11 persen menjadi 12 persen tak bakal membuat harga minyak mentah dan bahan bakar minyak (BBM) melonjak. ""PPN (12 persen) untuk minyak gak ada isu,"" kata Bahlil dalam Konferensi Pers di Kantor BPH Migas, Jakarta Selatan, Kamis (19/12). ""Gak ada, gak ada (harga minyak dan harga BBM naik imbas PPN 12 persen),"" tegasnya. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Menteri Koordinator Bidang Perekonomian Airlangga Hartarto, Menteri Keuangan Sri Mulyani, dan jajaran Kabinet Merah Putih sudah mengumumkan kenaikan PPN dari 11 persen ke 12 persen. Ini diumumkan dalam konferensi pers di Kantor Airlangga pada Senin (16/12).  Tarif baru PPN bakal berlaku mulai 1 Januari 2025. Pemerintah berdalih kenaikan ini merupakan amanat UU Nomor 7 Tahun 2024 tentang Harmonisasi Peraturan Perpajakan (UU HPP). Naiknya pajak tersebut menimbulkan kekhawatiran atas harga minyak mentah. Pada akhirnya, harga BBM yang dijual di SPBU ditakutkan bakal ikut terkerek. Terpisah, PT Pertamina Patra Niaga mengaku masih harus berkoordinasi dengan pemerintah mengenai tarif baru PPN. Ini terutama untuk PPN bahan bakar non-subsidi. Direktur Utama PT Pertamina Patra Niaga Riva Siahaan menyebut pihaknya juga masih mengkaji dampak kenaikan PPN terhadap harga BBM yang mereka jual. ""Terus terang kami juga masih berkoordinasi. Apakah nanti berdampak ke energi atau tidak,"" kata Riva, dikutip dari CNBC Indonesia. ""Kami serahkan ke pemerintah,"" tegasnya. [Gambas:Video CNN] ",https://www.cnnindonesia.com/ekonomi/20241219133559-85-1179072/bahlil-pastikan-ppn-12-persen-tak-akan-buat-harga-bbm-naik,2024-12-20 01:54:50.409503
