title,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count,embeddings
Ketua DPR Puan Maharani Khawatir Gelombang PHK Buntut PPN 12 Persen,"Ketua DPRPuan Maharanimewanti-wanti potensi gelombang pemutusan hubungan kerja (PHK) buntut keputusan pemerintah yang akan memberlakukan kenaikan pajak pertambahan nilai(PPN) 12 persenmulai 1 Januari 2025. Puan meyakini kenaikan tersebut akan berdampak pada sektor usaha. Imbasnya, industri manufaktur, UMKM, dan sektor padat karya akan turun akibat penurunan daya beli masyarakat. ""Pada akhirnya roda ekonomi di sektor riil berpotensi melambat yang dikhawatirkan memicu gelombang PHK di tahun-tahun mendatang,"" kata Puan dalam keterangannya, Kamis (19/12). Puan menilai kenaikan PPN 12 persen juga akan berdampak pada penurunan daya beli rumah tangga. Kalkulasi Puan, angka penurunan tersebut bisa mencapai 0,37 persen atau Rp40,68 triliun. Menurut Puan kondisi itu akan menggerus produk domestik bruto (PDB) hingga Rp65,33 triliun. Puan khawatir hal itu bisa memperburuk ketimpangan ekonomi antara kelompok kaya dan miskin. ""Sektor padat karya seperti industri tekstil sudah mengalami pelemahan selama beberapa waktu terakhir. Semoga kenaikan PPN ini tidak memperparah keadaan,"" kata politikus PDIP itu.",1105,148,276.25,"[-0.34791964 -0.47277978 -0.16888522 ...  0.74645     0.29023138
 -0.1987804 ]"
Ketua DPR Puan Maharani Khawatir Gelombang PHK Buntut PPN 12 Persen,"Menurut Puan, kenaikan PPN memang dikecualikan bagi barang-barang kebutuhan pokok (sembako) seperti beras, daging, ikan, telur, sayur, susu, serta jasa pendidikan dan kesehatan. Namun, kenaikan harga diprediksi tetap akan terjadi karena efek turunan dan interkonektivitas rantai pasok pangan yang membebani pengusaha. Hal itu lantaran PPN bersifatmultistage taxatau dikenakan ke setiap jenjang rantai produksi dan distribusi. ""Pemerintah harus memiliki langkah antisipasi apabila kenaikan harga bahan pokok terjadi akibat kenaikan PPN,"" kata Puan. Dia mendukung langkah pemerintah yang berencana menerapkan paket stimulus ekonomi guna menjaga daya beli masyarakat dan mencegah lonjakan harga yang tidak terkendali. Namun Puan mengingatkan pentingnya stimulus juga diberikan pada sektor-sektor industri kerakyatan. ""Kita harus bisa memastikan semua sektor dapat terlindungi dengan adanya kenaikan PPN. Apalagi bagi sektor UMKM dan industri padat karya agar kenaikan PPN tidak menimbulkan dampak yang signifikan dan menggerus kehidupan masyarakat,"" ucapnya.",1055,137,263.75,"[-0.27533785  0.35604054 -0.28815377 ...  0.724085    0.07072463
 -0.72616315]"
VIDEO: Aksi Tolak PPN 12 Persen di Depan Istana,"Massa aksi dari beberapa elemen masyarakat melakukan aksi tolak kenaikan PPN 12 persen di seberang kompleks Istana Kepresidenan, Jakarta Pusat, Kamis (19/12) petang. Massa itu terdiri atas berbagai elemen dari kelompok perempuan, mahasiswa, Gen-Z, hingga K-Popers. Massa mulai berkumpul di Taman Aspirasi halaman Plaza Barat Laut Monas sekitar pukul 14.00 WIB. Massa terlihat membawa poster-poster bertuliskan keresahan dan tuntutan mereka terhadap pemerintah. Kepolisian mengerahkan sebanyak 820 personel gabungan guna mengamankan aksi unjuk rasa.",548,73,137.0,"[-0.22501184 -0.17062667 -0.37642476 ...  0.79059654 -0.01237998
  0.15861385]"
Massa Tolak PPN 12 Persen Sampaikan Surat Keberatan ke Setneg,"Perwakilan massa aksi menolak kenaikan Pajak Pertambahan Nilai(PPN) 12 persenmenyerahkan isi petisi penolakan ke Sekretariat Negara RI. Perwakilan akun X @barengwarga, Risyad azhary mengatakan mereka akan terus memantau langkah pemerintah ke depan. ""Pokoknya, jangan sampai lewat, sampai nanti hari H kita lihat juga, kalau sampai benar-benar masih dipaksain berarti kita tahu memang hari ini pemerintah enggak berpihak kepada kelas pekerja, kelas penengah, dan kaum bawah,"" kata Risyad usai membuat pelaporan ke Setneg RI, Jakarta, Kamis (19/12). Risyad menyampaikan sejauh ini petisi digital yang digalang secara online itu telah mendapatkan dukungan dari kurang lebih 120 ribu orang. Ia pun yakin jumlah orang yang menandatangani petisi itu akan terus bertambah ke depannya. ""Ini kita kan bikin 100 udah lebih ya, bahkan tadi akutaggingkan 120-an mungkin, dan akan terus tambah kan, jadi kita galang terus petisinya secara digital, terus kita tagih,"" ujar dia. Risyad menyampaikan mereka diterima secara administrasi dalam pelaporannya ke Setneg. Ia pun berharap lewat surat dan petisi itu pemerintah akan mendengarkan serta mempertimbangkan kembali kebijakan kenaikan PPN 12 persen tersebut. ""Sampai dibatalkan, sampai dibatalkan, kan kita lihat katanya kan tanggal 1 akan disahkan ya. Kita tunggu juga, kalau benar-benar dipaksain berarti ya kalau begitu, ya kita turun aksi lagi gitu, jemput bola lagi gitu,"" ucapnya.",1423,205,355.75,"[-0.8742247   0.2803687  -0.84535074 ...  0.9372099  -0.3707051
  0.5699447 ]"
Massa Tolak PPN 12 Persen Sampaikan Surat Keberatan ke Setneg,"Pada hari ini, koalisi masyarakat sipil menggelar demonstrasi di Taman Aspirasi Monas, Jakarta. Demonstrasi ini dihadiri puluhan orang dengan membawa spanduk bernarasi menolak kenaikan PPN. ""PPN naik masyarakat sipil bisa kena PHK pak,"" teriak massa aksi. Menteri Koordinator Bidang Perekonomian Airlangga Hartarto, Menteri Keuangan Sri Mulyani, dan jajaran Kabinet Merah Putih sudah mengumumkan kenaikan PPN dari 11 persen ke 12 persen. Ini diumumkan dalam konferensi pers di Kantor Airlangga pada Senin (16/12). Tarif baru PPN bakal berlaku mulai 1 Januari 2025. Pemerintah berdalih kenaikan ini merupakan amanat UU Nomor 7 Tahun 2024 tentang Harmonisasi Peraturan Perpajakan (UU HPP).",687,98,171.75,"[-0.38735592 -0.3153607  -0.04825384 ...  0.61239046  0.31250802
  0.87372196]"
"Bahlil Pastikan Tarif Listrik 2025 Tetap, Tak Terdampak PPN 12 Persen","Menteri ESDMBahlil Lahadaliamemastikantarif listrikpada awal 2025 tetap alias tidak naik. Pernyataan ini diberikan menyusul adanya kenaikan pajak pertambahan nilai (PPN). Tarif pajak tersebut naik dari 11 persen ke 12 persen mulai 1 Januari 2025. ""Masih sama (tarif listrik di kuartal I 2025), masih sama (tetap alias tidak naik dibandingkan kuartal IV 2024),"" tegas Bahlil dalam Konferensi Pers di Kantor BPH Migas, Jakarta Selatan, Kamis (19/12). Di lain sisi, Menteri Keuangan Sri Mulyani mengatakan pemerintah bakal memberikan diskon 50 persen untuk tarif listrik. Ada 81,4 juta rumah tangga di seluruh Indonesia yang berhak atas diskon itu. Potongan 50 persen berlaku untuk pelanggan rumah tangga dengan daya listrik hingga 2.200 volt ampere (VA). Ini diberikan sebagai salah satu paket stimulus demi meredam dampak kenaikan PPN. Diskon berlaku selama dua bulan, yakni Januari 2025 dan Februari 2025. Wanita yang akrab disapa Ani itu menyampaikan diskon tarif listrik diberikan untuk menjaga daya beli masyarakat. """,1020,151,255.0,"[-0.3005279  -0.3365325  -0.37542272 ...  0.38577062  0.24754843
  0.7456068 ]"
"Bahlil Pastikan Tarif Listrik 2025 Tetap, Tak Terdampak PPN 12 Persen","Sehingga ekonomi kita tetap jalan, meski kita pahami banyak dinamika global yang terjadi, dan di dalam negeri yang terus kita waspadai,"" kata Ani dalam Konferensi Pers di Kemenko Perekonomian, Jakarta Pusat, Senin (16/12). Meski begitu, Bahlil belum membocorkan bagaimana kebijakan tarif listrik di kuartal II 2025 dan seterusnya. Tak ada informasi apakah pemerintah melalui PT PLN (Persero) bakal melakukan penyesuaian tarif atau tidak.",437,63,109.25,"[-0.4767918   0.08735375 -0.6033739  ...  0.81254494  0.5599333
  0.60618585]"
Petisi 113 Ribu Desak Prabowo Cabut PPN 12 Persen Dibawa ke Istana,"Kelompok Bareng Warga mengantar petisi online yang menuntut PresidenPrabowo Subiantomencabut Pajak Pertambahan Nilai (PPN) 12 persen ke istana. Petisi itu telah ditandatangani sekitar 113 ribu orang. Risyad Azharai, perwakilan Bareng Warga, mengatakan inisiatif ini dimulai di internet. Bareng Warga hanya menyampaikan suara masyarakat yang dituangkan ke dalam petisi itu. ""Ini adalah tanda tangan yang dihimpun secara digital melalui petisi online oleh hampir 1113 ribu lebih dan akan terus bertambah, yaitu penolakan untuk PPN 12 persen,"" kata Risyad di Kantor Kementerian Sekretariat Negara (Setneg), Jakarta, Kamis (19/12). Risyad mengatakan kenaikan PPN 12 persen tak tepat saat ini. Masyarakat sedang kesulitan ekonomi dan penambahan PPN hanya akan memberatkan. Dia juga mengingatkan kelas menengah sedang melemah. Sebagian kelas menengah turun status menjadi kelas bawah karena kondisi ekonomi saat ini. Risyad dan kawan-kawan mendesak Prabowo untuk mencabut kenaikan PPN 12 persen.",989,137,247.25,"[-0.5199577  -0.00790427  0.47340208 ...  0.742668    0.16215792
 -0.809468  ]"
Petisi 113 Ribu Desak Prabowo Cabut PPN 12 Persen Dibawa ke Istana,"Dia juga mengingatkan pemerintah untuk tidak membalut kebijakan itu dengan istilah-istilah menyesatkan. ""Jangan bilang-bilang pakai khusus barang mewah doang. Saya tahu kita sadar itu upaya-upaya buat pembiasan, pengaburan, pengabu-abuan,"" ujarnya. Ia menambahkan, ""Jangan dipelintir-pelintir. Batalin semuanya untuk PPN 12 persen.""Sebelumnya, pemerintah menetapkan kenaikan PPN 12 persen berlaku pada 1 Januari 2024. Hal itu sesuai dengan ketetapan di Undang-Undang Nomor 7 Tahun 2024 tentang Harmonisasi Peraturan Perpajakan (UU HPP). ""Sesuai dengan amanah undang-undang tentang harmonisasi peraturan perpajakan, ini sesuai dengan jadwal yang telah ditentukan. Tarif PPN tahun depan akan naik sebesar 12 persen per 1 Januari,"" ucap Menko Perekonomian Airlangga Hartarto, di Gedung Kemenko Perekonomian, Jakarta Pusat, Senin (16/12).",834,108,208.5,"[-0.38304615  0.19147094 -0.11585771 ...  0.54542494  0.5723943
 -0.5094358 ]"
Massa K-Popers Ikut Aksi Tolak PPN 12 Persen di Depan Istana Presiden,"Massa aksi dari beberapa elemen masyarakat melakukan aksi tolak kenaikanPajak Pertambahan Nilai (PPN) 12 persendi seberang kompleks Istana Kepresidenan, Jalan Medan Merdeka Utara, Jakarta Pusat, Kamis (19/12) petang. Massa itu terdiri atas berbagai elemen dari kelompok perempuan, mahasiswa, Gen-Z, hingga K-Popers. Massa yang berdatangan mulai pukul 14.00 WIB, berkumpul di Taman Aspirasi halaman Plaza Barat Laut Monumen Nasional (Monas), yang berada di seberang istana. Massa terlihat membawa poster bertuliskan ""Kalo PPN naik, berarti harga barang bakal naik, otomatis pengeluaran ikut naik, gaji jadi ga cukup lagi, ""Ketua Serikat Gen Z tolak kenaikan PPN 12 persen"". Massa K-Popers terlihat ada yang membawa lampu tangan ""lightstick"" yang sering jadi asesoris penonton konser musisi asal Korea. Salah satu dari massa aksi itu, Sekar Ayu (20) asal Bekasi menyebut dirinya mengikuti demonstrasi tersebut untuk kepentingan dirinya dan teman-teman K-popers lainnya. ""Alasan ikut demo supaya harga konser tidak naik kak. Kita kalau tidak naik aja konser udah Rp4 juta, apalagi naik bisa Rp4 juta lebih dong. Kan jadi sedih,"" ujar Sekar di seberang istana. Massa aksi lain, Ikrar W (25) asal Semarang mengatakan, ""Saya tidak setuju kenaikan PPN 12 persen, 11 persen aja sudah mencekik apalagi 12 persen, makin diperas intinya itu.""",1331,197,332.75,"[ 0.0449845   0.23870876 -0.7553545  ...  0.72492844  0.40779695
 -0.06227186]"
